timestep	mean	median
5620	875.9806287166184	864.535618815547
11620	944.7155963524368	949.8244067887688
17620	961.8486143306518	961.6077418899026
23620	908.0266623313715	913.7819245254968
29620	932.7866112361686	932.2869621602083
35620	881.2434866502797	870.9664706158309
41620	901.8551286842032	903.3749252761493
47620	776.6156046574272	828.0583739491923
53620	660.8885957520777	650.1115362692244
59620	861.6209222756603	861.8910811555596
65620	883.483304699128	880.7755640828136
71620	874.4485034019557	913.7209581860252
77620	853.2806507816956	895.3767802065615
83620	820.3182973459112	823.0090665883956
89620	846.0445590803059	874.4898431330644
95620	859.0356472934533	859.282364249834
101620	933.5943780537502	937.1265633253738
107620	848.5633172474776	850.7078977563804
113620	809.5996564290757	936.672169246007
119620	797.1924385413656	800.1232209734892
125620	807.7457355890378	809.6805008979431
131620	908.8551656261061	941.6863048262046
137620	931.4276143762147	938.1785772588996
143620	910.3566887737958	917.8719699013203
149620	902.0430945104742	937.1944924565362
155620	994.0795525856216	1005.8190364099719
161620	669.9557100316142	721.5287478522155
167620	688.4906662473928	683.2715742924086
173620	916.1332302294115	920.7107872776045
179620	1158.7386651918205	1159.5134635348795
185620	1130.8165727088813	1132.831367792613
191620	930.3963249721355	930.5405559359353
197620	909.0841721756626	898.6096330183545
203620	893.6898797578255	924.0870017482457
209620	504.42898188481723	398.329347558323
215620	982.9893443502681	976.9227481700087
221620	1214.306084382844	1216.0577614836664
227620	1080.4414205215835	1129.2334453871
233620	916.9108296619727	930.9184908340978
239620	947.0437323022443	947.2592354972026
245620	1211.4510495378818	1209.7299256198942
251620	1250.034155832004	1245.2726164457358
257620	1106.929373501478	1128.8566772377353
263620	1281.4654777855185	1282.187450800388
269620	1386.9893990946268	1387.6579750882643
275620	1435.362076882558	1430.0682212916927
281620	1315.4539284735895	1407.1460290817984
287620	1403.5636519027441	1489.0875465171744
293620	1409.9598354616394	1407.5708405245377
299620	1542.2070544097257	1542.1725511424665
305620	1368.925797273861	1373.2854405623025
311620	1183.3966775855001	1493.5915389731558
317620	1462.5615576483938	1467.6736838295906
323620	424.5300947823471	310.81112864373466
329620	742.0369376239581	796.3133647805897
335620	1606.2358028702356	1612.1039830420632
341620	1412.44011280416	1634.8354802001325
347620	1341.263734347152	1613.982230622591
353620	1628.1149849669866	1633.7373203210946
359620	1680.742942159622	1679.8131261178505
365124	1656.1101501615844	1657.1692890015493
371124	1376.8134894863658	1687.1472751912052
377124	1313.373265839958	1651.7417325711149
383124	1252.287174100967	1659.4815931822427
389124	1715.047686674061	1707.5744661577733
395124	1423.9911763945727	1717.6561173763637
401124	1204.1355536669605	1083.473459861871
406481	1509.8913182472857	1735.9407346134403
412481	1607.9386389686156	1700.7061276560548
417511	1748.1438919098248	1751.389716330748
423511	1440.076467372734	1648.0785649825739
429389	1700.4227286862726	1774.3045173955995
435389	1880.8444273021473	1879.6593046802377
441389	1904.3197372916554	1911.8341974854766
447389	1728.013363315395	1852.7254059287998
453389	1869.9013173549454	1875.2692774235081
458954	1947.3985517957597	1957.4138995895287
464954	1940.7859742038258	1921.2934523837669
470954	1984.44365664106	1988.9381779190971
476954	2045.956696155624	2047.404159886337
482954	2064.5564573773045	2073.481720892352
488954	1957.0753898003459	1974.9941157153335
494954	1954.9677722279998	1978.5624767072195
500954	1907.5534917282207	2041.770755432987
506954	1874.8701531000595	2029.4509141700344
512954	1853.433333075924	1946.3740606233782
518954	2011.1146688872625	2010.9881405706078
524954	1643.746114156326	1642.4422055539615
530954	2077.0487425184647	2081.461771351837
536131	1807.611846715364	2013.9741407696238
542131	1996.722444237445	1999.1035436830657
548131	1787.6168573362124	2060.936007674385
554131	1905.7205978469258	1923.4786687791348
560131	2058.5795077372636	2062.8962471206396
566131	1833.4072832875524	2071.5253886786386
572131	2105.1311616473304	2128.18747109213
578131	1939.8407488106218	2025.3521369200869
584131	2092.0616212953523	2101.590722651189
590000	2131.3313003209705	2128.9483981534154
596000	2060.7089037760647	2050.7948958132847
602000	2082.799149359985	2077.376224478405
608000	2079.548507651243	2071.2668097089704
614000	2057.01264683773	2046.4356596611797
620000	2157.123568181023	2163.8585098220583
626000	2147.006558541992	2148.8209377544463
632000	2023.9555470661962	2200.4647307647056
638000	2194.085991291568	2203.1780681374917
644000	1980.4027683144923	2151.108528666993
650000	1903.6606571482705	2101.196298333365
656000	2180.398256532508	2173.7712556405554
662000	2249.0560231315117	2259.0889465761593
668000	2264.3162931696415	2274.1693568093087
674000	2205.392327725599	2207.3304818080173
680000	2206.004331290691	2209.374449592927
686000	2328.8770293216253	2330.0485029576466
692000	2393.1962195655797	2406.316874894893
698000	2410.7893933274363	2419.9815579656088
704000	2265.8683568329534	2253.3099454413164
710000	2384.4911710827246	2370.06426452616
716000	2273.802098995281	2260.243507817201
722000	2278.113824898683	2300.801448045363
728000	2318.287072066266	2319.701757837789
734000	2312.494317458415	2311.9666077982706
740000	2400.6515837652614	2394.2878279835313
746000	2423.085221630491	2425.8251061102915
752000	2332.2069259955733	2325.4363588387905
758000	2150.471686341611	2152.2911982877868
764000	2439.161376357569	2426.4351586658076
770000	2289.751486772391	2292.5799262193104
776000	2424.5528199639507	2443.466743639613
782000	2543.757635349441	2546.7040601117037
788000	2387.452943629154	2384.9649993883518
794000	2416.9641629805105	2411.8463726030413
800000	2525.959418334231	2526.7949553799813
806000	2549.246786611223	2546.8313779865416
812000	2539.7600954707104	2542.08492730192
818000	1832.4550699706463	2360.09851767104
824000	854.9656195175869	845.706277915803
830000	2515.278164540423	2510.705483757819
836000	2387.133905927153	2514.333161260743
842000	2394.977138025447	2597.2537588481664
848000	2472.7128117504863	2551.118555190813
854000	2435.261159496566	2436.792062444776
860000	2668.203396727497	2674.4601113786025
866000	2579.37108152696	2583.222156018152
872000	2572.618701783128	2584.045070156044
878000	2662.4900692168367	2665.8449247691947
884000	2603.626112595566	2617.8803410333685
890000	2522.1710228807615	2528.0259905689277
896000	2462.0600513187906	2469.6574611198293
902000	2518.0990688737893	2515.902710670244
908000	2463.183838638174	2476.0157608425493
914000	2481.759161896966	2461.85583980553
920000	2628.3755258626957	2642.3185474611364
926000	2620.989223968967	2615.426023346936
932000	2421.0594659546455	2410.5681637303087
938000	2637.340110386708	2650.7746356425887
943784	2668.440209787591	2647.323045721111
949784	2576.6872712468294	2641.905514613338
955784	2502.0253473570892	2617.8854837801136
961784	2705.4762009187034	2692.231295269507
967784	2633.8384799687137	2626.927801143188
973784	2560.9146187739398	2569.9476979889914
979784	2596.922494185219	2583.8309647342094
985784	2691.2387198533515	2697.0332938912507
991784	2116.559707390901	2608.0614331031757
997784	2611.7693139345306	2626.9711809126684
