timestep	mean	median
5102	268.95358519742075	238.8516775102106
10265	203.2666327422187	199.0764315667692
15350	527.345722104175	423.36341588781346
20463	90.03040223596605	85.23512235811506
25480	228.0011017547456	130.35455999552568
30569	250.56371646382118	102.56343052466815
35703	569.4982217258915	627.3264991709308
40718	300.0941936517626	294.30070783271333
45923	668.1394402150679	664.1229954899023
50941	686.2722540646847	690.1483802169835
55993	531.341710119343	526.6842645669504
60996	519.6035374685746	504.744320308808
66175	543.4620772770465	562.5810193522884
71177	1353.1787836009678	1406.0170105637262
76393	667.5953821818202	658.6151687684519
81412	223.60656301104206	157.6011628804178
87185	906.1923313009263	901.5884464134657
92309	688.5014530647034	701.7610681551614
97405	1491.9663698929394	1435.8157461955907
102599	186.3269929608184	88.890731195137
107789	504.7304602091257	548.8938068607074
112833	452.0481907593683	448.6657075557634
117967	1012.4538779187269	1089.9114793438207
123204	1161.3300879425778	1397.545068388412
128445	874.0083371713035	854.900421852851
133718	1009.4951981421666	989.2324346481004
139133	1804.86903629975	1609.1017916241194
144741	1516.4076321484076	1508.587349527755
149919	1852.2200792245665	1798.8631175061482
154946	2494.871840173296	3072.4351328550097
160079	2214.9114728442923	2331.914876405557
165362	2609.7030714432685	2881.391470052211
170780	2159.5877222905174	2281.144696406067
176613	3010.6330413398373	3011.6806443500855
181881	2812.673947543092	3005.11278176823
187328	2476.162236725598	2809.6380491432838
192741	2986.489604258504	3109.8432647778654
197746	3054.240262887578	3053.5669447565333
203367	2947.599011149985	3110.843210327368
208891	2267.3984379057442	2542.528727124859
214658	2439.8389407644877	2466.7757168932144
219795	2036.6761962205378	2141.603198865481
225112	2799.6273191848345	2928.9828576466625
230614	2721.7972130922076	3220.92639785961
236092	2177.340937059959	2914.574649560568
241376	3011.5463192528578	3005.4012416468786
246583	3212.503359510591	3382.3939413530043
252534	3196.094226589578	3203.005319948596
258534	3146.5445619099364	3145.561044967368
264534	3323.66506227499	3326.680935344386
269925	1327.7935024138592	1317.5951013584872
275323	3431.8738154788357	3433.543655399797
280389	3291.64951235682	3288.0105821985444
286197	3155.6245887933896	3152.45255750448
291730	2259.2134550924184	2075.7502972449556
296751	3100.2339471093364	3206.4420839936956
302155	3201.818397935548	3286.6407159329874
307510	3069.5855102471182	3285.6989646712063
312688	2999.801447019153	3105.5461706961028
318347	3284.3142589353206	3302.271064404732
324226	3645.0898398642894	3634.1507370687186
329496	3284.7239941728612	3288.4719174857237
335496	2862.0867916133216	3031.577062836337
341011	3470.9454749484516	3479.2265254490894
346855	3052.9533771930583	3054.877667854681
352855	3100.4370477203943	3102.976439067261
358855	3048.382757407674	3035.207027529356
364172	3529.0291894397096	3538.2955999827477
370031	3376.6550785328463	3386.9468860358675
376031	3302.0633373453056	3290.411853408914
381572	3139.657765649615	3238.6674817548314
387369	2407.451347550671	2169.9009367910194
393077	2515.631382902913	2181.0645730887927
398259	2983.1596602221516	3195.0307330152555
403773	2979.2289295832697	3154.210793869921
409578	3639.4996471412064	3637.3883023311046
415578	3450.3032936170284	3463.4316260998676
421578	3655.429984274182	3657.4636565344827
426699	3550.804906162773	3544.163100726768
432439	2704.3962566197943	2743.3278418498203
437674	3506.4920024012963	3528.9987314480054
443497	3659.6727547696983	3632.678045605606
448886	3544.3468712104577	3554.0588100018585
454886	3726.751095651119	3724.5172933667354
460886	3397.3229895627724	3401.4751223233943
466886	3481.4684206548127	3480.011068000322
472886	3419.7858633524056	3436.0743742137665
478886	3159.4987337379143	3428.0602861514562
484479	3478.517850105628	3483.0019252692296
489980	3404.612068752125	3401.610672396212
495223	3267.168965202892	3335.7331664727258
501223	3465.4979333828983	3473.75907962177
507223	3086.053828492025	3307.77337377638
512559	3065.669368699965	3258.2316683833747
518160	3544.764848906576	3606.4907036303694
524052	3661.5190343436216	3649.006267890497
529179	3546.9528828583125	3556.3663038964823
534294	2879.235640028083	3377.27249784545
539917	3523.79043631884	3521.8473666526015
545754	3679.0555340073743	3673.583431489259
551754	2109.630685752624	1943.6516837715972
557278	3285.6692605393227	3621.5584656253586
563079	3521.395699942316	3526.0223283506875
569079	3409.063376683282	3555.6242421952843
575079	3511.9537525102955	3512.0703313562444
581079	3490.636974112194	3491.958964159655
586480	3434.8428356740465	3423.0964990244647
592480	3372.8208943894883	3370.0235043258317
597974	3515.8076659458397	3515.4933700789993
603896	3297.731441116922	3299.7789710748684
609896	2266.0474905292544	3443.012987806286
615896	3006.7255017820803	3669.326107959206
621214	3268.880427707567	3660.226232007858
626492	3510.3445198217696	3510.000798986887
631691	3696.789748738201	3725.2613576156255
637691	3769.6000238282295	3775.869303105296
642802	1117.4504124922312	1093.4517310612691
647899	3711.012140092719	3709.519372913462
653287	2759.118219490237	2826.958469551809
658539	2232.903878074322	2008.9204231850513
663619	1722.1764461036648	1675.614061861676
668828	3869.0833825247346	3858.0886095906612
674688	2540.5665043515046	2070.775117638777
680050	3689.1151236179276	3690.1264020992344
686050	3821.7221811429495	3815.1241647437346
692050	3678.2027293082297	3687.475415307981
698050	3639.318501239834	3635.508059874088
703588	3704.348548082872	3712.433713658515
709588	3786.2339142696082	3790.0618253477946
715588	3791.6568565895914	3789.1158736310754
721588	3673.123494501536	3671.5393680736793
727588	3712.654369779046	3712.9360930227535
733376	3678.15186699075	3677.2088702623623
739376	3776.7071166597552	3780.139806523792
745376	3646.918622177742	3654.7354330530434
750496	3806.850738153337	3806.1798562290014
756496	3648.5579025140933	3643.2004977260335
762496	3829.433287861062	3836.1402135917383
768383	3799.5294892060847	3801.1421726649955
774383	3798.7481145350343	3797.1192775441823
779552	3776.574866812802	3764.1773333473757
785418	4009.4464350953795	4008.981024997679
791418	4070.549067768149	4072.3247597237983
796944	3716.525714357237	3724.6518108703435
802944	4080.742308583399	4087.0737005147867
808250	3762.497821925552	3756.319141560103
813824	4003.4229505350827	4006.739064278311
818837	3976.6211621603043	3977.528126548672
824083	3743.5959096023676	3880.7744048841796
829700	3951.4139930097977	3958.7283786885296
835595	3932.8867867187373	3916.0566618678386
841172	4122.734349180563	4119.182993323891
846719	4168.221467376159	4173.527041709778
852075	4148.626182451786	4143.785757796575
857814	4217.481742283591	4227.488347614536
863814	3918.550509826246	3917.19354207161
869391	3916.381342988162	3910.3177383086104
875391	4040.463073848462	4045.513767007522
881391	4054.3181720316397	4056.6054231442486
887391	4049.5351895715417	4053.237481758193
893391	4062.679999666125	4059.264550878989
899391	3894.117659655032	3893.9964097334987
905391	3451.401685586405	4077.5728341412446
910608	3058.6304846164116	4195.175981339367
916019	4236.462668441968	4235.822885436408
921612	2707.91776805683	3090.552786903406
926850	3142.1688630601584	2611.9508911799176
932045	1091.5600056999972	816.0884055288027
937385	1417.7436517131505	360.0839600679345
942722	3853.435875809561	3845.412935243654
948722	3856.5978277553418	3851.1586451678745
954029	3637.078726647217	3638.419439070037
959216	2086.1413130842	1992.6571158074566
964340	2614.8610906426466	2525.1619254349034
969774	3417.5854757293228	3755.898572055714
975389	3940.325187030511	3936.030824827921
981389	4064.734050690449	4058.671719078001
986431	3902.2680689284753	3895.707296930329
992233	3356.275016339753	3634.958548228129
998233	3812.6982134930013	3874.2747636513377
